adc_buffer		Error: Multiple errors reported.\ Failed to execute MI command: -var-create - * adc_buffer Error message from debugger back end: -var-create: unable to create variable object\ Unable to create variable object	
adc_value		Error: Multiple errors reported.\ Failed to execute MI command: -var-create - * adc_value Error message from debugger back end: -var-create: unable to create variable object\ Unable to create variable object	
values	uint32_t [100]	0x20000158 <values>	
	values[0]	uint32_t	11531	
	values[1]	uint32_t	13853	
	values[2]	uint32_t	13617	
	values[3]	uint32_t	10916	
	values[4]	uint32_t	7103	
	values[5]	uint32_t	4038	
	values[6]	uint32_t	3275	
	values[7]	uint32_t	5165	
	values[8]	uint32_t	8791	
	values[9]	uint32_t	12351	
	values[10]	uint32_t	14102	
	values[11]	uint32_t	13169	
	values[12]	uint32_t	10010	
	values[13]	uint32_t	6197	
	values[14]	uint32_t	3607	
	values[15]	uint32_t	3520	
	values[16]	uint32_t	5974	
	values[17]	uint32_t	9765	
	values[18]	uint32_t	13015	
	values[19]	uint32_t	14125	
	values[20]	uint32_t	12545	
	values[21]	uint32_t	9054	
	values[22]	uint32_t	5374	
	values[23]	uint32_t	3326	
	values[24]	uint32_t	3919	
	values[25]	uint32_t	6861	
	values[26]	uint32_t	10693	
	values[27]	uint32_t	13540	
	values[28]	uint32_t	13983	
	values[29]	uint32_t	11799	
	values[30]	uint32_t	8073	
	values[31]	uint32_t	4660	
	values[32]	uint32_t	3215	
	values[33]	uint32_t	4469	
	values[34]	uint32_t	7807	
	values[35]	uint32_t	11565	
	values[36]	uint32_t	13902	
	values[37]	uint32_t	13662	
	values[38]	uint32_t	10941	
	values[39]	uint32_t	7123	
	values[40]	uint32_t	4061	
	values[41]	uint32_t	3275	
	values[42]	uint32_t	5154	
	values[43]	uint32_t	8785	
	values[44]	uint32_t	12350	
	values[45]	uint32_t	14103	
	values[46]	uint32_t	13182	
	values[47]	uint32_t	10036	
	values[48]	uint32_t	6212	
	values[49]	uint32_t	3607	
	values[50]	uint32_t	3509	
	values[51]	uint32_t	5959	
	values[52]	uint32_t	9752	
	values[53]	uint32_t	13005	
	values[54]	uint32_t	14129	
	values[55]	uint32_t	12561	
	values[56]	uint32_t	9073	
	values[57]	uint32_t	5385	
	values[58]	uint32_t	3324	
	values[59]	uint32_t	3914	
	values[60]	uint32_t	6851	
	values[61]	uint32_t	10687	
	values[62]	uint32_t	13531	
	values[63]	uint32_t	13973	
	values[64]	uint32_t	11810	
	values[65]	uint32_t	8087	
	values[66]	uint32_t	4669	
	values[67]	uint32_t	3217	
	values[68]	uint32_t	4462	
	values[69]	uint32_t	7795	
	values[70]	uint32_t	11559	
	values[71]	uint32_t	13912	
	values[72]	uint32_t	13664	
	values[73]	uint32_t	10965	
	values[74]	uint32_t	7131	
	values[75]	uint32_t	4075	
	values[76]	uint32_t	3272	
	values[77]	uint32_t	5155	
	values[78]	uint32_t	8771	
	values[79]	uint32_t	12339	
	values[80]	uint32_t	14104	
	values[81]	uint32_t	13182	
	values[82]	uint32_t	10035	
	values[83]	uint32_t	6229	
	values[84]	uint32_t	3617	
	values[85]	uint32_t	3509	
	values[86]	uint32_t	5948	
	values[87]	uint32_t	9739	
	values[88]	uint32_t	13002	
	values[89]	uint32_t	14129	
	values[90]	uint32_t	12564	
	values[91]	uint32_t	9082	
	values[92]	uint32_t	5392	
	values[93]	uint32_t	3327	
	values[94]	uint32_t	3904	
	values[95]	uint32_t	6836	
	values[96]	uint32_t	10680	
	values[97]	uint32_t	13523	
	values[98]	uint32_t	13983	
	values[99]	uint32_t	11817	
Add new expression			
