adc_buffer	uint32_t [100]	0x200000b8 <adc_buffer>	
	adc_buffer[0]	uint32_t	1202	
	adc_buffer[1]	uint32_t	1143	
	adc_buffer[2]	uint32_t	2678	
	adc_buffer[3]	uint32_t	3692	
	adc_buffer[4]	uint32_t	2785	
	adc_buffer[5]	uint32_t	1204	
	adc_buffer[6]	uint32_t	1139	
	adc_buffer[7]	uint32_t	2671	
	adc_buffer[8]	uint32_t	3682	
	adc_buffer[9]	uint32_t	2777	
	adc_buffer[10]	uint32_t	1213	
	adc_buffer[11]	uint32_t	1129	
	adc_buffer[12]	uint32_t	2667	
	adc_buffer[13]	uint32_t	3685	
	adc_buffer[14]	uint32_t	2779	
	adc_buffer[15]	uint32_t	1061	
	adc_buffer[16]	uint32_t	1143	
	adc_buffer[17]	uint32_t	2668	
	adc_buffer[18]	uint32_t	3683	
	adc_buffer[19]	uint32_t	2762	
	adc_buffer[20]	uint32_t	1206	
	adc_buffer[21]	uint32_t	1124	
	adc_buffer[22]	uint32_t	2677	
	adc_buffer[23]	uint32_t	3685	
	adc_buffer[24]	uint32_t	2783	
	adc_buffer[25]	uint32_t	1210	
	adc_buffer[26]	uint32_t	1142	
	adc_buffer[27]	uint32_t	2676	
	adc_buffer[28]	uint32_t	3684	
	adc_buffer[29]	uint32_t	2786	
	adc_buffer[30]	uint32_t	1212	
	adc_buffer[31]	uint32_t	1139	
	adc_buffer[32]	uint32_t	2651	
	adc_buffer[33]	uint32_t	3691	
	adc_buffer[34]	uint32_t	2791	
	adc_buffer[35]	uint32_t	1224	
	adc_buffer[36]	uint32_t	1144	
	adc_buffer[37]	uint32_t	2669	
	adc_buffer[38]	uint32_t	3685	
	adc_buffer[39]	uint32_t	2787	
	adc_buffer[40]	uint32_t	1213	
	adc_buffer[41]	uint32_t	1142	
	adc_buffer[42]	uint32_t	2666	
	adc_buffer[43]	uint32_t	3659	
	adc_buffer[44]	uint32_t	2786	
	adc_buffer[45]	uint32_t	1211	
	adc_buffer[46]	uint32_t	1140	
	adc_buffer[47]	uint32_t	2671	
	adc_buffer[48]	uint32_t	3685	
	adc_buffer[49]	uint32_t	2788	
	adc_buffer[50]	uint32_t	1243	
	adc_buffer[51]	uint32_t	1135	
	adc_buffer[52]	uint32_t	2671	
	adc_buffer[53]	uint32_t	3691	
	adc_buffer[54]	uint32_t	2789	
	adc_buffer[55]	uint32_t	1214	
	adc_buffer[56]	uint32_t	1139	
	adc_buffer[57]	uint32_t	2663	
	adc_buffer[58]	uint32_t	3684	
	adc_buffer[59]	uint32_t	2793	
	adc_buffer[60]	uint32_t	1180	
	adc_buffer[61]	uint32_t	1143	
	adc_buffer[62]	uint32_t	2664	
	adc_buffer[63]	uint32_t	3683	
	adc_buffer[64]	uint32_t	2802	
	adc_buffer[65]	uint32_t	1212	
	adc_buffer[66]	uint32_t	1136	
	adc_buffer[67]	uint32_t	2777	
	adc_buffer[68]	uint32_t	3686	
	adc_buffer[69]	uint32_t	2792	
	adc_buffer[70]	uint32_t	1212	
	adc_buffer[71]	uint32_t	1136	
	adc_buffer[72]	uint32_t	2661	
	adc_buffer[73]	uint32_t	3682	
	adc_buffer[74]	uint32_t	2797	
	adc_buffer[75]	uint32_t	1217	
	adc_buffer[76]	uint32_t	1137	
	adc_buffer[77]	uint32_t	2663	
	adc_buffer[78]	uint32_t	3679	
	adc_buffer[79]	uint32_t	2791	
	adc_buffer[80]	uint32_t	1224	
	adc_buffer[81]	uint32_t	1134	
	adc_buffer[82]	uint32_t	2668	
	adc_buffer[83]	uint32_t	3688	
	adc_buffer[84]	uint32_t	2792	
	adc_buffer[85]	uint32_t	1212	
	adc_buffer[86]	uint32_t	1139	
	adc_buffer[87]	uint32_t	2666	
	adc_buffer[88]	uint32_t	3678	
	adc_buffer[89]	uint32_t	2785	
	adc_buffer[90]	uint32_t	1211	
	adc_buffer[91]	uint32_t	1138	
	adc_buffer[92]	uint32_t	2669	
	adc_buffer[93]	uint32_t	3589	
	adc_buffer[94]	uint32_t	2789	
	adc_buffer[95]	uint32_t	1215	
	adc_buffer[96]	uint32_t	1130	
	adc_buffer[97]	uint32_t	2662	
	adc_buffer[98]	uint32_t	3687	
	adc_buffer[99]	uint32_t	2796	
